ts,stage,epoch,step,loss
"2026-07-02 17:11:17,457",1,1,20,1.4128
"2026-07-02 17:11:18,179",1,1,40,1.298
"2026-07-02 17:11:18,922",1,1,60,1.2447
"2026-07-02 17:11:19,722",1,1,80,1.2202
"2026-07-02 17:11:20,519",1,1,100,1.1956
"2026-07-02 17:11:21,318",1,1,120,1.1721
"2026-07-02 17:11:22,116",1,1,140,1.1568
"2026-07-02 17:11:22,914",1,1,160,1.1407
"2026-07-02 17:11:23,743",1,1,180,1.1291
"2026-07-02 17:11:24,613",1,1,200,1.1215
"2026-07-02 17:11:25,491",1,1,220,1.1127
"2026-07-02 17:11:26,369",1,1,240,1.1033
"2026-07-02 17:11:27,248",1,1,260,1.1001
"2026-07-02 17:11:28,123",1,1,280,1.0988
"2026-07-02 17:11:29,003",1,1,300,1.0937
"2026-07-02 17:11:29,880",1,1,320,1.0868
"2026-07-02 17:11:30,759",1,1,340,1.0824
"2026-07-02 17:11:31,638",1,1,360,1.0773
"2026-07-02 17:11:32,516",1,1,380,1.0733
"2026-07-02 17:11:33,395",1,1,400,1.0679
"2026-07-02 17:11:34,274",1,1,420,1.0643
"2026-07-02 17:11:35,152",1,1,440,1.0582
"2026-07-02 17:11:36,771",1,2,20,0.9646
"2026-07-02 17:11:37,500",1,2,40,0.9683
"2026-07-02 17:11:38,230",1,2,60,0.9832
"2026-07-02 17:11:38,958",1,2,80,0.9828
"2026-07-02 17:11:39,729",1,2,100,0.9724
"2026-07-02 17:11:40,526",1,2,120,0.9746
"2026-07-02 17:11:41,326",1,2,140,0.9685
"2026-07-02 17:11:42,127",1,2,160,0.9719
"2026-07-02 17:11:42,925",1,2,180,0.9689
"2026-07-02 17:11:43,778",1,2,200,0.9688
"2026-07-02 17:11:44,616",1,2,220,0.9731
"2026-07-02 17:11:45,464",1,2,240,0.974
"2026-07-02 17:11:46,342",1,2,260,0.9752
"2026-07-02 17:11:47,214",1,2,280,0.9741
"2026-07-02 17:11:48,093",1,2,300,0.9734
"2026-07-02 17:11:48,972",1,2,320,0.9716
"2026-07-02 17:11:49,850",1,2,340,0.9718
"2026-07-02 17:11:50,729",1,2,360,0.9717
"2026-07-02 17:11:51,608",1,2,380,0.9677
"2026-07-02 17:11:52,487",1,2,400,0.9687
"2026-07-02 17:11:53,368",1,2,420,0.9663
"2026-07-02 17:11:54,246",1,2,440,0.9695
"2026-07-02 17:11:55,863",1,3,20,0.9643
"2026-07-02 17:11:56,655",1,3,40,0.9699
"2026-07-02 17:11:57,455",1,3,60,0.9551
"2026-07-02 17:11:58,306",1,3,80,0.9499
"2026-07-02 17:11:59,186",1,3,100,0.9516
"2026-07-02 17:12:00,066",1,3,120,0.9505
"2026-07-02 17:12:00,947",1,3,140,0.9544
"2026-07-02 17:12:01,825",1,3,160,0.954
"2026-07-02 17:12:02,705",1,3,180,0.9512
"2026-07-02 17:12:03,585",1,3,200,0.9503
"2026-07-02 17:12:04,468",1,3,220,0.9463
"2026-07-02 17:12:05,318",1,3,240,0.9442
"2026-07-02 17:12:06,125",1,3,260,0.9492
"2026-07-02 17:12:06,933",1,3,280,0.9509
"2026-07-02 17:12:07,807",1,3,300,0.9515
"2026-07-02 17:12:08,685",1,3,320,0.953
"2026-07-02 17:12:09,564",1,3,340,0.9504
"2026-07-02 17:12:10,443",1,3,360,0.9497
"2026-07-02 17:12:11,323",1,3,380,0.9495
"2026-07-02 17:12:12,201",1,3,400,0.9488
"2026-07-02 17:12:13,081",1,3,420,0.9485
"2026-07-02 17:12:13,959",1,3,440,0.9487
"2026-07-02 17:12:15,573",1,4,20,0.9427
"2026-07-02 17:12:16,361",1,4,40,0.9313
"2026-07-02 17:12:17,163",1,4,60,0.9425
"2026-07-02 17:12:18,000",1,4,80,0.9429
"2026-07-02 17:12:18,839",1,4,100,0.9441
"2026-07-02 17:12:19,717",1,4,120,0.9399
"2026-07-02 17:12:20,593",1,4,140,0.9342
"2026-07-02 17:12:21,471",1,4,160,0.9383
"2026-07-02 17:12:22,349",1,4,180,0.9377
"2026-07-02 17:12:23,228",1,4,200,0.9373
"2026-07-02 17:12:24,109",1,4,220,0.9333
"2026-07-02 17:12:24,988",1,4,240,0.9307
"2026-07-02 17:12:25,867",1,4,260,0.9312
"2026-07-02 17:12:26,748",1,4,280,0.9352
"2026-07-02 17:12:27,625",1,4,300,0.9378
"2026-07-02 17:12:28,498",1,4,320,0.9379
"2026-07-02 17:12:29,376",1,4,340,0.9377
"2026-07-02 17:12:30,254",1,4,360,0.9364
