stage,epoch,loss,time
1,1,0.7401,4.1
1,2,0.539,3.9
1,3,0.484,3.9
1,4,0.4625,4.0
1,5,0.4487,3.9
1,6,0.4332,3.9
1,7,0.423,3.8
1,8,0.4168,3.9
1,9,0.4115,3.9
1,10,0.4051,3.9
1,11,0.3984,4.0
1,12,0.3947,3.9
1,13,0.3874,3.7
1,14,0.3835,4.0
1,15,0.3797,3.9
1,16,0.3762,3.9
1,17,0.3727,3.9
1,18,0.37,3.6
1,19,0.3681,3.9
1,20,0.3668,3.8
2,1,0.825,355.0
2,2,0.8957,351.5
2,3,0.9698,352.7
2,4,0.8714,353.1
2,5,0.5649,351.1
2,6,0.4553,352.8
2,7,0.423,351.5
2,8,0.3753,352.7
2,9,0.3474,353.9
2,10,0.3108,350.7
2,11,0.2854,353.5
2,12,0.2567,352.6
2,13,0.2362,351.6
2,14,0.2135,353.3
2,15,0.1969,351.4
2,16,0.1828,351.7
2,17,0.1694,353.3
2,18,0.154,350.6
2,19,0.1437,352.4
2,20,0.1371,353.2
2,21,0.1295,351.7
2,22,0.1256,353.1
2,23,0.1201,351.9
2,24,0.1165,351.6
2,25,0.113,354.1
2,26,0.1112,351.1
2,27,0.1093,351.5
2,28,0.108,354.2
2,29,0.1071,350.7
2,30,0.1056,352.5
